X	Displacement
0	0
0.005	0.0201903249017718
0.01	0.0804728461488804
0.015	0.180611742459016
0.02	0.320357553379868
0.025	0.498492120199128
0.03	0.714206593374484
0.035	0.966957199373628
0.04	1.25505799944425
0.045	1.57665739663404
0.05	1.92974395966068
0.055	2.31258108112187
0.06	2.7237771320753
0.065	3.16060538181866
0.07	3.62045993595963
0.075	4.10139758522591
0.08	4.60085141689519
0.085	5.11606155554516
0.09	5.6439816214335
0.095	6.18179131934791
0.1	6.72713033843608
0.105	7.2771043147157
0.11	7.82821662541445
0.115	8.37742478536003
0.12	8.92216383402013
0.125	9.45964466544243
0.13	9.98731595826464
0.135	10.5022209863344
0.14	11.0020929967695
0.145	11.4853941818175
0.15	11.9496687204662
0.155	12.3936146439033
0.16	12.8162359997264
0.165	13.2167161459832
0.17	13.5954273669414
0.175	13.9513522589987
0.18	14.2842627932829
0.185	14.5955973950515
0.19	14.8856757310023
0.195	15.1553846460629
0.2	15.4061060468112
0.205	15.6389080310046
0.21	15.8559501897011
0.215	16.0586183240481
0.22	16.2481812999935
0.225	16.4270832607248
0.23	16.5969127146899
0.235	16.7597668842363
0.24	16.9175558659619
0.245	17.0711937896742
0.25	17.2225420355109
0.255	17.3727096416298
0.26	17.5223086323486
0.265	17.6725143189149
0.27	17.8239192331764
0.275	17.9772835239108
0.28	18.1334180150858
0.285	18.2925760970391
0.29	18.4555958916983
0.295	18.6232550881213
0.3	18.7959357151756
0.305	18.9743940336089
0.31	19.159060798559
0.315	19.3509456401835
0.32	19.5512667492401
0.325	19.7601508362666
0.33	19.9780637402305
0.335	20.2056895922196
0.34	20.4431687419417
0.345	20.6906590761142
0.35	20.9477785946451
0.355	21.2136268422119
0.36	21.4877497021423
0.365	21.769168749234
0.37	22.0567671816948
0.375	22.3498764820323
0.38	22.6473428091642
0.385	22.9487841629982
0.39	23.2535885545319
0.395	23.5603955408131
0.4	23.8692714027795
0.405	24.1796255928188
0.41	24.4903646929085
0.415	24.8014497390365
0.42	25.1121342503705
0.425	25.422235023198
0.43	25.7318066547468
0.435	26.0397908140946
0.44	26.3460315856791
0.445	26.650920739698
0.45	26.9543569401589
0.455	27.2562895295296
0.46	27.5569036859477
0.465	27.856598978561
0.47	28.1558802378171
0.475	28.4552113570336
0.48	28.7555181628084
0.485	29.0581494235391
0.49	29.3640095244334
0.495	29.6740574237289
0.5	29.9890376853834
0.505	30.3090789590445
0.51	30.63444827749
0.515	30.9647577905975
0.52	31.2992961046347
0.525	31.6373069908993
0.53	31.9772214654591
0.535	32.3181800003116
0.54	32.6586642834446
0.545	32.9962847636658
0.55	33.3305288534328
0.555	33.6597008661234
0.56	33.9819199611752
0.565	34.297010740366
0.57	34.6035737823434
0.575	34.9008411648851
0.58	35.1880059873687
0.585	35.4634271525521
0.59	35.7268590880129
0.595	35.9776176881687
0.6	36.2142606488873
0.605	36.4358465842564
0.61	36.6411066603736
0.615	36.8288227250666
0.62	36.9981508449631
0.625	37.1476448246309
0.63	37.2763203921075
0.635	37.3832556539508
0.64	37.4669498384283
0.645	37.5272899127578
0.65	37.563689223897
0.655	37.5751147736135
0.66	37.561841390365
0.665	37.5232980124693
0.67	37.459092898504
0.675	37.3690194609868
0.68	37.2518985228755
0.685	37.1075118097076
0.69	36.9351635158408
0.695	36.733791405973
0.7	36.5036488704417
0.705	36.2438627486147
0.71	35.9533844541696
0.715	35.6321087532742
0.72	35.2788330785761
0.725	34.8933605806529
0.73	34.4761551560925
0.735	34.0265307438525
0.74	33.5453995215506
0.745	33.0334865639444
0.75	32.4908055344017
0.755	31.9190423906401
0.76	31.3190956711074
0.765	30.6921991546513
0.77	30.0407014808393
0.775	29.3657194867793
0.78	28.6692451335188
0.785	27.9537479067457
0.79	27.2204615853075
0.795	26.471419067382
0.8	25.7083764783469
0.805	24.9327508053398
0.81	24.1471265366784
0.815	23.3527803372605
0.82	22.5508231908938
0.825	21.7432743435058
0.83	20.9313617304543
0.835	20.1170091038571
0.84	19.3021499538917
0.845	18.4882909245558
0.85	17.6775799101173
0.855	16.8714241531137
0.86	16.0715739288927
0.865	15.2803155213921
0.87	14.4991399832495
0.875	13.7304135041226
0.88	12.9764749822491
0.885	12.2389324120067
0.89	11.5201129948431
0.895	10.821669560106
0.9	10.145173075963
0.905	9.49296439611187
0.91	8.86629679187029
0.915	8.26626370022594
0.92	7.69431914106652
0.925	7.15059372276971
0.93	6.6352765245832
0.935	6.14857806060469
0.94	5.68944194229186
0.945	5.25779801310241
0.95	4.85265616085401
0.955	4.47186657113438
0.96	4.11493614887118
0.965	3.78029200248212
0.97	3.46653081931488
0.975	3.17310103015716
0.98	2.89829916251664
0.985	2.64143915535101
0.99	2.40170241124797
0.995	2.1779292423652
1	1.9700300062304
1.005	1.77745898039125
1.01	1.59990627479544
1.015	1.43772663343067
1.02	1.29085769870462
1.025	1.15961524274498
1.03	1.04389013060945
1.035	0.942869611645714
1.04	0.856986393181462
1.045	0.786228796084383
1.05	0.730158285232169
1.055	0.68888402107251
1.06	0.661458770933094
1.065	0.647471294381613
1.07	0.646446033355756
1.075	0.656622993413214
1.08	0.677185532601676
1.085	0.707143528928832
1.09	0.744754524962374
1.095	0.788997222529989
1.1	0.83819543728937
1.105	0.890491725528204
1.11	0.945276047164184
1.115	1.000864418905
1.12	1.05559624122834
1.125	1.10946567522189
1.13	1.16178081308335
1.135	1.2123954903904
1.14	1.26131752375074
1.145	1.30791347623205
1.15	1.35306433619203
1.155	1.39701180371836
1.16	1.43916143008874
1.165	1.47966720091086
1.17	1.51839074744239
1.175	1.55577842599105
1.18	1.59208752800451
1.185	1.62685028783046
1.19	1.6608288162466
1.195	1.69466826594061
1.2	1.72892607839019
1.205	1.76514203577303
1.21	1.80389893187681
1.215	1.84627851343922
1.22	1.89435071138796
1.225	1.94878796656072
1.23	2.01138928384518
1.235	2.08493796101904
1.24	2.17077497733998
1.245	2.2708552676457
1.25	2.38636777908388
1.255	2.51775691250222
1.26	2.66711208802841
1.265	2.83492448059013
1.27	3.02100894409508
1.275	3.22628740730094
1.28	3.45022972603541
1.285	3.69268388584617
1.29	3.95361676948093
1.295	4.23181801717735
1.3	4.52686665044315
1.305	4.83795966649599
1.31	5.16425897545359
1.315	5.50513309257362
1.32	5.85931124157378
1.325	6.22635879171175
